datetime,headline,source,summary
21-10-2024,SRV: Still Looking Like A Solid Midstream Investment,SeekingAlpha,"NXG Cushing Midstream Energy Fund (SRV )offers a high yield without tax complications, making it suitable for tax-advantaged retirement accounts. Read more here."
21-10-2024,"Options Volatility and Implied Earnings Moves This Week, October 21 – October 25, 2024",TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
22-10-2024,Insights into NextEra Energy's Upcoming Earnings,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
22-10-2024,NextEra Energy Q3 earnings on deck: What to expect,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
22-10-2024,NextEra Energy price target raised to $58 from $46 at Seaport Research,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
22-10-2024,"NextEra Energy price target raised by $12 at Seaport Research, here's why",Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
22-10-2024,NextEra Energy (NEE) Gets a Buy from Morgan Stanley,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
22-10-2024,NextEra Energy (NEE) Gets a Sell from Seaport Global,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
22-10-2024,NextEra Energy Partners to Release Q3 Earnings: What's in Store?,Yahoo,"NEP's third-quarter results are likely to continue to benefit from the expansion of high-quality renewable energy sources, lower debt and structural tax advantages."
22-10-2024,Pre-Q3 Earnings: How Should You Play NextEra Energy Stock?,Yahoo,NEE's earnings for the third quarter are likely to have benefited from the strong economic condition in Florida and the addition of new customers creating fresh demand.
23-10-2024,"Pre-Markets Trade Down on Q3 Earnings from Boeing, Coke and More",Yahoo,"This morning brings us a good amount of meaningful Q3 results: BA, KO, BSX and NEE."
23-10-2024,"It's Not S&P 500 Leader Vistra, But This Utility Projects 36% Profit Growth By 2027",Yahoo,"NextEra Energy reported above-forecast third-quarter earnings and said early Wednesday it would be ""disappointed"" if it did not deliver financial results ""at or near the top"" of its profit forecast each year through 2027.  NEE shares edged down early.  Florida-based NextEra Energy targets 2024 adjusted earnings per of $3.23-$3.43."
23-10-2024,NextEra Energy Partners: 60% Distribution Cut Coming To A Theater Near You,SeekingAlpha,NextEra Energy Partners LP adjusted EBITDA and Cash Available For Distribution came in below expectations. Find out why NEP stock is a sell.
23-10-2024,NextEra (NEE) Q3 Earnings: Taking a Look at Key Metrics Versus Estimates,Yahoo,"The headline numbers for NextEra (NEE) give insight into how the company performed in the quarter ended September 2024, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals."
23-10-2024,Sector Update: Energy Stocks Decline Premarket Wednesday,Yahoo,Sector Update: Energy Stocks Decline Premarket Wednesday
23-10-2024,NextEra Energy Partners Q3 Earnings & Revenues Lag Estimates,Yahoo,NEP's third-quarter 2024 earnings decline year over year. Total operating expenses increase during the same period.
23-10-2024,NextEra Energy (NEE) Q3 Earnings Beat Estimates,Yahoo,"NextEra (NEE) delivered earnings and revenue surprises of 5.10% and 10.53%, respectively, for the quarter ended September 2024. Do the numbers hold clues to what lies ahead for the stock?"
23-10-2024,"NextEra Energy Partners (NEP) Reports Q3 Loss, Misses Revenue Estimates",Yahoo,"NextEra Energy Partners (NEP) delivered earnings and revenue surprises of -184.31% and 1.88%, respectively, for the quarter ended September 2024. Do the numbers hold clues to what lies ahead for the stock?"
23-10-2024,NextEra beats third-quarter profit estimates on renewables strength,Yahoo,"Growing demand from AI-backed data centers, along with homes and businesses using more electricity for heat and transportation, has brightened forecasts for utilities this year.  A strong push for cleaner energy is also benefiting companies like NextEra, the world's largest renewables company.  ""We are also pleased to announce incremental framework agreements with two Fortune-50 customers for the potential development of renewables and storage projects, totaling up to 10.5 GW between now and 2030,"" said CEO John Ketchum."
23-10-2024,NextEra 'very interested' in restarting shuttered Iowa nuclear plant,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
23-10-2024,NextEra Energy : Amendment to Beneficial Ownership Report - Form SC 13D/A,Finnhub,Submission Documents UNITED STATES SECURITIES AND EXCHANGE COMMISSION ...
23-10-2024,NextEra: Q3 Earnings Snapshot,Yahoo,"The Juno Beach, Florida-based company said it had profit of 90 cents per share. Earnings, adjusted for non-recurring costs, were $1.03 per share. The results surpassed Wall Street expectations."
23-10-2024,NextEra Energy Partners: Q3 Earnings Snapshot,Yahoo,"JUNO BEACH, Fla. AP) — NextEra Energy Partners LP (NEP) on Wednesday reported a loss of $40 million in its third quarter. The Juno Beach, Florida-based company said it had a loss of 43 cents per share."
23-10-2024,NextEra Energy third-quarter 2024 financial results available on company's website,Yahoo,"NextEra Energy, Inc. (NYSE: NEE) has posted its third-quarter 2024 financial results in a news release available on the company's website by accessing the following link: www.NextEraEnergy.com/FinancialResults."
23-10-2024,"NextEra Energy Partners, LP third-quarter 2024 financial results available on partnership's website",Yahoo,"NextEra Energy Partners, LP (NYSE: NEP) has posted its third-quarter 2024 financial results in a news release available on the partnership's website by accessing the following link: www.NextEraEnergyPartners.com/FinancialResults."
23-10-2024,"NextEra Energy, Inc. (NEE) Q3 2024 Earnings Call Transcript",SeekingAlpha,"NextEra Energy, Inc. (NYSE:NEE) Q3 2024 Earnings Conference Call October 23, 2024 9:00 AM ETCompany ParticipantsMark Edelman - Director of Investor..."
23-10-2024,Societe Generale’s global nuclear-exposed picks as capacity increases,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
23-10-2024,NCZ: This Convertible Bond CEF Has Improved Over The Past Few Months,SeekingAlpha,"The Virtus Convertible & Income Fund II offers an attractive 11.39% yield, outperforming many peers and appealing to income-focused investors despite potential sustainability concerns."
23-10-2024,"The Zacks Analyst Blog Highlights DTE Energy, NextEra Energy and FirstEnergy",Yahoo,"DTE Energy, NextEra Energy and FirstEnergy are included in this Analyst Blog."
23-10-2024,RBC Capital Remains a Buy on NextEra Energy (NEE),TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
23-10-2024,NextEra Energy 3Q Profit Rises,Finnhub,By Jasmine Li NextEra Energy reported a higher profit in the third quarter as it increased investment in its business and secured more development projects. The energy provider said net...
23-10-2024,My Dividend Stock Portfolio: New September Dividend Record - 100 Holdings With 12 Buys,SeekingAlpha,"September's investment activity was minimal, with $1,000 invested mainly in Business Development Companies. Check out my dividend stock portfolio."
23-10-2024,NextEra Energy : reports third quarter 2024 financial results Form 8 K,Finnhub,NextEra Energy reports third-quarter 2024 financial results •NextEra Energy delivers strong third-quarter 2024 results •FPL grows regulatory capital employed by...
23-10-2024,NextEra Energy : Q3 2024 Release,Finnhub,"NextEra Energy, Inc. Media Line: 561-694-4442 Oct. 23, 2024 FOR IMMEDIATE RELEASE NextEra Energy reports..."
23-10-2024,NextEra Energy in charts: Reports strong earnings growth across businesses in Q3,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
23-10-2024,NextEra Energy sees FY27 adjusted EPS $3.85-$4.32,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
23-10-2024,NextEra Energy sees FY24 Adjusted EBITDA $1.900B-$2.100B,Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
23-10-2024,"NextEra Energy reports Q3 adjusted EPS $1.03, consensus 98c",Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
23-10-2024,NextEra misses Q3 topline estimates,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
23-10-2024,NextEra reports Q3 results,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
23-10-2024,NextEra Energy (NYSE:NEE) Is Interested in Reopening Iowa Nuclear Plant,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
23-10-2024,A Closer Look at NextEra Energy's Options Market Dynamics,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
23-10-2024,"NextEra Energy says interest in restarting Iowa nuclear plant, Bloomberg says",TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
23-10-2024,"Wall Street Slumps For Third Straight Day As Investor Sentiment Fades, Dollar Strength Resumes, Boeing Disappoints: What's Driving Markets Wednesday?",Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
23-10-2024,NextEra Energy Partners Swings to Loss in 3Q,MarketWatch,NextEra Energy Partners Swings to Loss in 3Q
23-10-2024,"NextEra Energy Poised for 'Healthy' Q3 Earnings Growth, RBC Says",Yahoo,"NextEra Energy Poised for 'Healthy' Q3 Earnings Growth, RBC Says"
23-10-2024,3 Wind Energy Stocks to Buy Ahead of Q3 Earnings Releases,Yahoo,"3 Wind Energy Stocks to Buy Ahead of Earnings Results. These are: DTE, FE, NEP."
24-10-2024,"DTE Energy's Q3 Earnings Surpass Estimates, Increase Y/Y",Yahoo,DTE reiterates its 2024 operating EPS projection. The company still expects operating EPS to be in the range of $6.54-$6.83.
24-10-2024,NextEra Energy Is A Fantastic Company That's Overvalued,SeekingAlpha,NextEra Energy is a leading renewable energy company with a $175 billion market cap. Read more to understand how this affects NEP stock and its future outlook.
24-10-2024,NextEra Energy: Hold Rating Amid High Valuation and External Risks,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
24-10-2024,NextEra Ponders Nuclear Plant Restart as Backlog Climbs,Yahoo,"NextEra Energy’s CEO is considering restarting the Duane Arnold nuclear plant as electricity needs, particularly from data centers, are growing."
24-10-2024,NEE December 6th Options Begin Trading,Stock Options Channel,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
24-10-2024,This Magnificent Dividend Stock Continues to Generate High-Powered Growth,Yahoo,NextEra Energy is a fast-growing utility.
24-10-2024,NextEra Energy price target raised to $90 from $85 at Argus,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
24-10-2024,"NextEra Energy price target raised by $5 at Argus, here's why",Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
24-10-2024,"Analysts Are Bullish on These Utilities Stocks: NextEra Energy (NEE), PPL (PPL)",TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
24-10-2024,NextEra Energy (NEE) Receives a Rating Update from a Top Analyst,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
24-10-2024,NextEra CEO ‘not bullish’ on SMRs as company assesses potential Duane Arnold restart,Yahoo,"“There are only a few nuclear plants that can be recommissioned in an economic way,” and newer technologies like small modular reactors remain financially infeasible, CEO John Ketchum said."
24-10-2024,ClearBridge Global Value Improvers Strategy Q3 2024 Commentary,SeekingAlpha,The ClearBridge Global Value Improvers Strategy performed in line with its MSCI World Value benchmark during the third quarter. Click here to read more.
24-10-2024,NextEra Energy Inc (NEE) Q3 2024 Earnings Call Highlights: Strong EPS Growth Amid Storm Challenges,Yahoo,"NextEra Energy Inc (NEE) reports a 10% increase in adjusted EPS, resilient performance during hurricanes, and ambitious renewable energy expansion plans."
24-10-2024,NextEra Energy Partners LP (NEP) Q3 2024 Earnings Call Highlights: Strong Growth Amidst Challenges,Yahoo,"NextEra Energy Partners LP (NEP) reports a 10% increase in adjusted EPS and expands its renewables backlog, while navigating storm recovery costs and strategic reviews."
24-10-2024,NextEra Energy price target raised to $92 from $90 at Guggenheim,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
24-10-2024,"NextEra Energy price target raised by $2 at Guggenheim, here's why",Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
24-10-2024,NextEra Energy: Strong Financial Performance and Strategic Positioning Drive Buy Rating,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
24-10-2024,Q3 2024 Nextera Energy Inc and Nextera Energy Partners LP Earnings Call,Yahoo,Q3 2024 Nextera Energy Inc and Nextera Energy Partners LP Earnings Call
24-10-2024,Decoding NextEra Energy Inc (NEE): A Strategic SWOT Insight,Yahoo,Insightful Analysis of NextEra Energy Inc's Latest Financials and Strategic Position
24-10-2024,NextEra Energy (NEE) Reports Strong Q3 Profits Despite Revenue Decline,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
24-10-2024,U.S. companies exposed to the nuclear energy trend,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
24-10-2024,"NextEra Partners raised at J.P. Morgan, seeing little downside left after big drop",Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
24-10-2024,NextEra Energy Partners sinks on unexpected Q3 loss,Yahoo,"NextEra Energy Partners (NEP) — a subsidiary of the Florida-based NextEra Energy, Inc. (NEE) — shares have slid by over 15% after reporting a third quarter loss and misses on quarterly revenue estimates. Market Domination's Julie Hyman and Josh Lipton report more on the renewable energy company's performance. To watch more expert insights and analysis on the latest market action, check out more Market Domination here. This post was written by Luke Carberry Mogan."
24-10-2024,"NextEra Energy's Q3 Earnings Surpass Estimates, Revenues Rise Y/Y",Yahoo,"NEE's third-quarter earnings per share come in better than estimates, Adds 3 GW of renewable projects to its backlog in the third quarter."
24-10-2024,NextEra Energy Partners: Here Comes The Distribution Cut,SeekingAlpha,NextEra Energy Partners is signalling a potential distribution cut in NEP units. Read more about alternative investments in the renewable power yieldco space.
24-10-2024,NextEra Energy (NEE) Q3 2024 Earnings Call Transcript,Yahoo,"NEE earnings call for the period ending September 30, 2024."
24-10-2024,"NextEra Energy Partners' Struggles Impact Stock, But Parent Company Outshines with Q3 Profit Surge",Yahoo,"NextEra Energy Partners posts a Q3 net loss, causing a stock dip, while NextEra Energy reports strong gains"
25-10-2024,Highbridge Capital Management LLC Acquires New Stake in Graf Global Corp,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,Highbridge Capital Management LLC Acquires Shares in Star Holdings,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,Highbridge Capital Management's Strategic Acquisition of INmune Bio Inc Shares,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,Highbridge Capital Management LLC Acquires New Stake in EQV Ventures Acquisition Corp,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,Highbridge Capital Management's Strategic Acquisition of Fortress Biotech Shares,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,"NextEra Energy Third Quarter 2024 Earnings: EPS Beats Expectations, Revenues Lag",Yahoo,NextEra Energy ( NYSE:NEE ) Third Quarter 2024 Results Key Financial Results Revenue: US$7.57b (up 5.5% from 3Q 2023...
25-10-2024,Highbridge Capital Management LLC Acquires New Stake in DT Cloud Star Acquisition Corp,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,Highbridge Capital Management's Strategic Acquisition of Pinstripes Holdings Inc Shares,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,Highbridge Capital Management's Strategic Acquisition in Matinas BioPharma,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,Highbridge Capital Management's Strategic Acquisition of Karyopharm Therapeutics Shares,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,Highbridge Capital Management LLC Acquires Significant Stake in Genelux Corp,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,This Ultra-High-Yield Dividend Stock Could Face a Day of Reckoning in January 2025,Yahoo,NextEra Energy Partners' strategy shifts haven't had the desired effect.
25-10-2024,WHITEBOX ADVISORS LLC Acquires Shares in Electra Battery Materials Corp,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,WHITEBOX ADVISORS LLC Acquires New Stake in Genasys Inc,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,WHITEBOX ADVISORS LLC Acquires New Stake in Reed's Inc,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,"Analysts Are Bullish on These Utilities Stocks: NextEra Energy (NEE), DTE Energy (DTE)",TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,NextEra Energy price target raised to $82 from $80 at Barclays,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,"NextEra Energy price target raised by $2 at Barclays, here's why",Thefly.com,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
25-10-2024,Barclays Sticks to Its Hold Rating for NextEra Energy (NEE),TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
26-10-2024,This Top Stock Is in the Best Position to Capitalize on the Unprecedented Growth It Sees Ahead,Yahoo,NextEra Energy could deliver supercharged growth in the coming years.
26-10-2024,NextEra Energy takes dim view of uneconomical small modular reactors,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
26-10-2024,"NextEra Energy Poised For Strong EPS Growth With Renewable Expansion, Says Goldman Sachs Analyst",Yahoo,"Goldman Sachs analyst Carly Davenport raised the price target for NextEra Energy, Inc. (NYSE:NEE) to $92 (from $86) and reiterated the Buy rating. Recently, the company reported third-quarter adjusted EPS of $1.03 exceeded the estimate of $0.98, while sales of $7.567 billion fell short of the $8.054 billion estimate. The analyst says the quarter underscored strong demand for renewables amid growing power needs, showcasing NEE’s competitive advantages as a developer to capitalize on this trend. W"
27-10-2024,This Top Energy Stock Sees Limitations for a Nuclear Energy Resurgence,Yahoo,NextEra Energy doesn't expect nuclear power to play a starring role in the country's energy resurgence.
28-10-2024,"NextEra Energy Partners, LP (NEP) Is a Trending Stock: Facts to Know Before Betting on It",Yahoo,"Zacks.com users have recently been watching NextEra Energy Partners (NEP) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects."
28-10-2024,"CenterPoint Energy Q3 Earnings Miss Estimates, Revenues Decline Y/Y",Yahoo,"CNP generated revenues of $1.86 billion, which missed the Zacks Consensus Estimate by 1.2%. The top line also plunged 0.2% year over year."
28-10-2024,"Utility Dashboard: Hold NextEra Energy, But Avoid XLU",SeekingAlpha,Traditional wisdom considers utility stocks safe haven investments for good reason. Read why that may not be the case today here.
28-10-2024,NEE Added as Top 10 Utility Dividend Stock With 2.53% Yield,Energy Stock Channel,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
28-10-2024,Closing Bell Movers: VF Corp. surges after quarterly results,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
28-10-2024,NextEra Energy Inc. stock outperforms competitors on strong trading day,MarketWatch,NextEra Energy Inc. stock outperforms competitors on strong trading day
28-10-2024,NextEra Energy announces intention to sell $1.5B of equity units,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
28-10-2024,NEE Explores Nuclear Options Amid AI Surge,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
28-10-2024,NextEra Energy Partners cut at Guggenheim after 'lackluster' Q3 results,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
29-10-2024,"Boeing Convertible at 6% Looks Like a Winner, Rallies in First Day of Trading",MarketWatch,"Boeing Convertible at 6% Looks Like a Winner, Rallies in First Day of Trading"
29-10-2024,How to Play NextEra Energy Stock After Q3 Earnings Beat,Yahoo,"NEE continues to benefit from improving economic conditions, a decline in interest rates and rising demand from its customers across the United States."
29-10-2024,"Is Trending Stock NextEra Energy, Inc. (NEE) a Buy Now?",Yahoo,"Zacks.com users have recently been watching NextEra (NEE) quite a bit. Thus, it is worth knowing the facts that could determine the stock's prospects."
29-10-2024,NextEra Energy to Sell $1.5 Billion in Equity Units,Yahoo,NextEra Energy to Sell $1.5 Billion in Equity Units
29-10-2024,FPL outlines plan to pay for significant restoration efforts after four hurricanes slam Florida in 14 months,Yahoo,Florida Power & Light Company today asked the Florida Public Service Commission (PSC) to approve a temporary surcharge on customer bills in 2025 to recover restoration costs after four hurricanes battered Florida in less than 14 months.
29-10-2024,NextEra Energy falls after offering $1.5 billion units,Yahoo,Investing.com -- NextEra Energy (NYSE:NEE) announced plans on Monday to raise $1.5 billion through an equity unit offering to support new projects.
29-10-2024,NextEra Energy announces sale of equity units,Yahoo,"NextEra Energy, Inc. (NYSE: NEE) announced today that it has agreed to sell $1.5 billion of equity units to J.P. Morgan, Mizuho and Goldman Sachs & Co. LLC. The transaction is expected to close on Oct. 31, 2024."
29-10-2024,NextEra Energy Inc (NEE) Stock Price Down 3.14% on Oct 29,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
29-10-2024,NextEra's Florida Utility Seeks to Cover $1.2 Billion in Hurricane Costs with Temporary Bill Increase,Finnhub,By Dean Seal NextEra Energy's Florida Power & Light seeks to add a temporary surcharge on customer bills next year to recover $1.2 billion in restoration costs and storm reserve replenishment...
29-10-2024,NextEra's Florida unit asks to recoup $1.2B in hurricane costs with temporary bill hike,Seeking Alpha,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
29-10-2024,NextEra Energy (NEE) Gets a Buy from RBC Capital,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
29-10-2024,Looking Into NextEra Energy's Recent Short Interest,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
29-10-2024,Unusually active option classes on open October 29th,TipRanks,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
29-10-2024,NextEra Energy Inc. stock underperforms Tuesday when compared to competitors,MarketWatch,NextEra Energy Inc. stock underperforms Tuesday when compared to competitors
29-10-2024,NextEra Energy (NEE): Shares Decline Amid $1.5 Billion Equity Sale Plan,GuruFocus,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
29-10-2024,Price Over Earnings Overview: NextEra Energy,Benzinga,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
29-10-2024,"Tuesday Sector Laggards: Utilities, Energy",Market News Video,Looking for stock market analysis and research with proves results? Zacks.com offers in-depth financial research with over 30years of proven results.
29-10-2024,NextEra's Florida Utility Seeks to Cover $1.2 Bln in Hurricane Costs with Temporary Bill Increase,MarketWatch,NextEra's Florida Utility Seeks to Cover $1.2 Bln in Hurricane Costs with Temporary Bill Increase
29-10-2024,NextEra plans to raise $1.5 billion to fund energy projects,Yahoo,"NextEra, which owns the world's largest renewables business and one of the biggest U.S. regulated electric utilities, reported a backlog of 24 gigawatts (GW) in the third quarter for its renewable arm.  The company said on Monday that each equity unit, issued in a stated amount of $50, will consist of a contract to buy NextEra's common stock in three years in cash and based on a range from zero to 25% premium, compared to the closing price of Oct. 28.  NextEra shares closed up 1.8% at $82.87 on Monday but dropped 2.4% after the bell."
29-10-2024,NextEra Energy to sell equity units,Yahoo,"NextEra Energy, Inc. (NYSE: NEE) announced today that it intends to sell $1.5 billion of equity units."
30-10-2024,"Edison International Q3 Earnings Beat Estimates, Revenues Rise Y/Y",Yahoo,"EIX's third-quarter earnings top estimates, while revenues increase year over year by 3.7%. The company narrows its 2024 EPS outlook."
