date,directional_sentiment
2025-04-17,0
2025-04-21,-1
2025-04-22,0
2025-04-22,1
2025-04-22,0
2025-04-22,0
2025-04-22,1
2025-04-23,0
2025-04-23,0
2025-04-23,1
2025-04-23,1
2025-04-24,-1
2025-04-24,-1
2025-04-24,1
2025-04-28,1
2025-04-28,-1
2025-04-29,0
2025-04-29,-1
2025-04-29,-1
2025-04-30,0
2025-05-02,-1
2025-05-02,-1
2025-05-02,1
2025-05-02,1
2025-05-06,-1
2025-05-07,-1
2025-05-07,-1
2025-05-08,1
2025-05-08,1
2025-05-08,0
2025-05-09,0
2025-05-09,1
2025-05-09,1
2025-05-09,-1
2025-05-09,0
2025-05-09,-1
2025-05-10,1
2025-05-12,0
2025-05-15,0
2025-05-15,1
2025-05-15,0
2025-05-16,-1
2025-05-16,1
2025-05-19,-1
2025-05-22,0
2025-05-22,-1
2025-05-22,0
2025-05-23,0
2025-05-28,0
2025-05-29,0
2025-05-30,1
2025-05-30,0
2025-05-30,0
2025-05-30,1
2025-05-30,1
2025-05-31,0
2025-06-02,0
2025-06-02,0
2025-06-02,0
2025-06-02,0
2025-06-02,0
2025-06-02,0
2025-06-03,0
2025-06-04,0
2025-06-05,-1
2025-06-10,0
2025-06-11,0
2025-06-12,-1
2025-06-14,0
2025-06-17,0
2025-06-18,0
2025-06-20,1
2025-06-21,-1
2025-06-22,1
2025-06-25,0
2025-06-25,-1
2025-06-26,0
2025-06-26,-1
2025-06-27,1
2025-06-27,1
2025-06-27,1
2025-06-27,0
2025-06-29,0
2025-06-30,1
2025-07-02,-1
2025-07-02,0
2025-07-03,0
2025-07-05,1
2025-07-06,0
2025-07-08,1
2025-07-08,0
2025-07-10,1
2025-07-11,1
2025-07-11,-1
2025-07-13,1
2025-07-15,0
2025-07-16,1
2025-07-17,0
2025-07-18,1
2025-07-19,0
2025-07-19,0
2025-07-19,0
2025-07-21,1
2025-07-21,0
2025-07-21,0
2025-07-21,0
2025-07-22,0
2025-07-22,0
2025-07-22,0
2025-07-22,0
2025-07-22,-1
2025-07-23,1
2025-07-23,1
2025-07-23,1
2025-07-23,0
2025-07-24,-1
2025-07-24,0
2025-07-24,0
2025-07-25,1
2025-07-25,0
2025-07-25,1
2025-07-27,-1
2025-07-27,0
2025-07-27,0
2025-07-28,1
2025-07-28,0
2025-07-29,0
2025-07-29,1
2025-07-29,1
2025-07-30,1
2025-07-30,1
2025-07-30,1
2025-07-30,0
2025-08-01,0
2025-08-02,0
2025-08-02,0
2025-08-04,0
2025-08-05,-1
2025-08-05,1
2025-08-06,1
2025-08-06,1
2025-08-08,0
2025-08-08,1
2025-08-08,0
2025-08-12,1
2025-08-12,1
2025-08-13,1
2025-08-13,1
2025-08-13,1
2025-08-13,0
2025-08-14,0
2025-08-14,0
2025-08-14,1
2025-08-15,0
2025-08-15,-1
2025-08-17,-1
2025-08-17,0
2025-08-17,0
2025-08-18,1
2025-08-19,0
2025-08-19,0
2025-08-22,1
2025-08-25,1
2025-08-26,0
2025-08-26,1
2025-08-27,0
2025-08-28,0
2025-08-28,1
2025-08-28,0
2025-09-02,1
2025-09-02,0
2025-09-03,1
2025-09-06,0
2025-09-07,-1
2025-09-08,1
2025-09-08,-1
2025-09-09,0
2025-09-10,1
2025-09-10,1
2025-09-12,1
2025-09-15,1
2025-09-15,0
2025-09-17,-1
2025-09-18,1
2025-09-18,0
2025-09-20,0
2025-09-22,-1
2025-09-22,1
2025-09-24,0
2025-09-24,0
2025-09-25,1
2025-09-27,1
2025-09-27,1
2025-09-30,-1
2025-10-01,1
2025-10-01,0
2025-10-02,0
2025-10-03,-1
2025-10-03,1
2025-10-05,1
2025-10-07,0
2025-10-07,1
2025-10-09,0
